CCG21CD,CMHS Q3 Mean,CMHS Q4 Mean,CMHS Q5 Mean,CMHS Q7 Mean,CMHS Q8 Mean,CMHS Q9 Mean,CMHS Q10 Mean,CMHS Q12 Mean,CMHS Q13 Mean,CMHS Q14 Mean,CMHS Q15 Mean,CMHS Q16 Mean,CMHS Q17 Mean,CMHS Q18 Mean,CMHS Q19 Mean,CMHS Q20 Mean,CMHS Q22 Mean,CMHS Q23 Mean,CMHS Q26 Mean,CMHS Q28 Mean,CMHS Q29 Mean,CMHS Q32 Mean,CMHS Q33 Mean,CMHS Q34 Mean,CMHS Q35 Mean,CMHS Q36 Mean,CMHS Q37 Mean,CMHS Q38 Mean
E38000024,6.267,6.887,6.141,7.149,6.83,6.984,7.766,9.535,8.006,6.013,7.233,6.651,6.878,7.666,7.121,6.714,7.745,5.676,7.924,8.122,7.02,5.259,4.412,3.388,7.109,6.714,8.334,2.128
E38000026,6.367,7.227,7.132,7.923,7.591,7.576,7.532,9.737,8.755,6.7,7.61,7.104,7.611,7.946,8.533,6.749,8.28,6.734,8.579,8.136,6.61,5.628,4.618,5.124,6.863,7.286,8.637,2.302
E38000034,5.948,6.507,6.248,7.098,6.559,6.441,7.664,9.833,8.143,6.152,7.198,6.705,6.706,7.679,7.292,6.109,7.868,6.205,7.588,7.584,6.913,5.142,4.396,4.157,6.52,6.536,7.996,1.985
E38000044,5.98,6.939,6.674,7.307,6.805,6.852,7.782,9.948,8.564,6.139,7.437,6.947,7.243,8.284,7.879,7.071,7.811,6.762,8.067,8.277,6.622,4.924,4.338,4.19,6.712,7.082,8.492,1.641
E38000045,6.247,7.462,6.985,7.462,6.855,7.444,7.971,9.9,8.829,6.639,7.614,6.693,7.259,8.022,8.266,6.871,8.162,6.372,8.108,7.983,7.373,5.308,4.426,4.452,6.83,7.302,8.569,1.639
E38000049,6.117,6.993,6.397,7.331,6.599,6.667,7.624,9.786,8.077,6.236,7.1,6.158,6.856,7.285,7.47,6.526,7.398,5.753,7.288,8.069,6.153,5.207,4.139,3.066,6.457,6.912,8.344,1.798
E38000052,5.711,6.818,6.439,6.81,6.549,6.916,7.464,9.896,8.348,6.077,7.079,6.484,6.584,7.742,8.321,6.108,7.734,5.477,7.272,8.395,7.371,5.003,4.264,4.424,6.163,6.789,8.168,2.55
E38000062,6.374,7.17,6.678,7.706,7.549,7.367,8.149,9.842,8.288,6.652,7.328,6.554,7.514,7.856,7.981,6.406,8.14,5.943,8.194,8.12,7.39,5.446,4.576,5.294,7.147,7.273,8.697,2.194
E38000089,5.786,6.467,6.627,7.377,6.917,7.069,8.278,9.724,7.842,6.248,7.678,6.685,6.953,7.988,6.814,6.3,7.791,5.693,7.262,7.635,6.567,4.902,4.338,3.502,6.541,6.842,8.321,2.086
E38000091,5.414,6.167,5.913,6.988,6.944,7.01,6.969,9.366,8.219,5.929,7.323,6.922,6.031,8.173,6.48,6.676,7.889,5.733,7.217,8.153,7.207,4.85,3.532,2.935,6.058,6.914,8.349,1.58
E38000106,5.748,6.917,6.295,7.061,6.627,6.798,7.1,9.581,8.308,5.907,7.332,6.699,6.463,7.284,7.359,6.989,7.604,5.568,7.097,7.528,6.131,4.483,3.621,3.465,6.171,6.805,8.202,1.717
E38000136,5.732,6.509,5.91,7.069,6.645,6.501,7.444,9.591,7.86,5.801,7.222,6.79,7.062,7.295,6.338,6.778,7.831,6.057,7.562,7.772,6.804,4.757,3.685,3.68,6.793,6.717,8.091,1.369
E38000150,6.243,7.12,6.911,7.364,7.23,7.063,7.872,9.477,8.309,6.349,7.501,6.82,6.442,7.803,6.904,6.642,7.724,6.126,7.611,8.029,7.464,4.753,4.028,4.257,6.424,7.246,8.536,1.725
