"Code","Name","Primary Role Name","Geographic Primary Care Organisation Code","Geographic Primary Care Organisation Name"
"RY4","HERTFORDSHIRE COMMUNITY NHS TRUST","NHS TRUST","06K","NHS EAST AND NORTH HERTFORDSHIRE CCG"
"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST","NHS TRUST","91Q","NHS KENT AND MEDWAY CCG"
"R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","NHS TRUST","M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN CCG"
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","11J","NHS DORSET CCG"
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","NHS TRUST","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG"
"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST","NHS TRUST","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG"
"RT2","PENNINE CARE NHS FOUNDATION TRUST","NHS TRUST","01Y","NHS TAMESIDE AND GLOSSOP CCG"
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"RWG","WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST","NHS TRUST","06N","NHS HERTS VALLEYS CCG"
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST","NHS TRUST","92A","NHS SURREY HEARTLANDS CCG"
"RX4","CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST","NHS TRUST","13T","NHS NEWCASTLE GATESHEAD CCG"
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","99A","NHS LIVERPOOL CCG"
"RWH","EAST AND NORTH HERTFORDSHIRE NHS TRUST","NHS TRUST","06K","NHS EAST AND NORTH HERTFORDSHIRE CCG"
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","70F","NHS WEST SUSSEX CCG"
"RYK","DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","15M","NHS DERBY AND DERBYSHIRE CCG"
"RY8","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST","NHS TRUST","15M","NHS DERBY AND DERBYSHIRE CCG"
"RYV","CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST","NHS TRUST","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG"
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","27D","NHS CHESHIRE CCG"
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","36L","NHS SOUTH WEST LONDON CCG"
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RQF","VELINDRE NHS TRUST","NHS TRUST","7A5","CWM TAF MORGANNWG UNIVERSITY LOCAL HEALTH BOARD"
"R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
