"Code","Name","Primary Role Name","Geographic Primary Care Organisation Code","Geographic Primary Care Organisation Name"
"RN7","DARTFORD AND GRAVESHAM NHS TRUST","NHS TRUST","91Q","NHS KENT AND MEDWAY CCG"
"RYT","PUBLIC HEALTH WALES NHS TRUST","NHS TRUST","7A4","CARDIFF & VALE UNIVERSITY LHB"
"RW5","LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST","NHS TRUST","00X","NHS CHORLEY AND SOUTH RIBBLE CCG"
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","NHS TRUST","07H","NHS WEST ESSEX CCG"
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST","NHS TRUST","03R","NHS WAKEFIELD CCG"
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST","NHS TRUST","03L","NHS ROTHERHAM CCG"
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","NHS TRUST","15N","NHS DEVON CCG"
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","NHS TRUST","05W","NHS STOKE ON TRENT CCG"
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","11N","NHS KERNOW CCG"
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","11J","NHS DORSET CCG"
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST","NHS TRUST","D4U1Y","NHS FRIMLEY CCG"
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST","NHS TRUST","09D","NHS BRIGHTON AND HOVE CCG"
"RBN","ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST","NHS TRUST","01J","NHS KNOWSLEY CCG"
"RBK","WALSALL HEALTHCARE NHS TRUST","NHS TRUST","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG"
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","W2U3Z","NHS NORTH WEST LONDON CCG"
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG"
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","03Q","NHS VALE OF YORK CCG"
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST","NHS TRUST","11N","NHS KERNOW CCG"
